,State,Total_cases,Case_rate_per_100k,Total_deaths,Death_rate_per_100k,Lat,Long,Death_percent,Recovery_percent
0,AK,17072,2315,84,11,61.3707,-152.4044,0.462198745460548,0.3920435787388577
1,AL,199158,4074,3026,61,32.3182,-86.9023,1.5193966599383404,0.4241406320609767
2,AR,117360,3894,2037,67,34.9697,-92.3731,1.7356850715746417,0.8931152010906612
3,AS,0,0,0,0,-14.270999999999999,-170.132,,
4,AZ,252768,3524,6087,84,33.7298,-111.4312,2.4081371059627803,0.16741438789720217
5,CA,944576,2388,17815,45,36.1162,-119.6816,1.866533452334421,
6,CO,121006,2125,2353,41,39.0598,-105.3111,1.9445316761152345,0.06832719038725353
7,CT,77060,2157,4656,130,41.5978,-72.7554,6.042045159615884,0.12717363093693226
8,DC,17682,2517,650,92,38.8974,-77.0268,3.6760547449383565,0.7721411605022056
9,DE,25753,2663,716,74,39.3185,-75.5071,2.780258610647304,0.5313944006523512
10,FL,816376,3833,16961,79,27.7663,-81.6868,2.049964949599942,
11,FSM,0,0,0,0,,,,
12,GA,368368,3502,8126,77,33.0406,-83.6431,2.205946227685358,
13,GU,5004,3019,85,51,13.4443,144.7937,1.6986410871302955,0.6698641087130296
14,HI,15471,1089,218,15,21.0943,-157.4983,1.4063704084253792,0.7679167736963781
15,IA,141373,4479,1802,57,42.0115,-93.2105,1.2730628601104632,0.6880224014148262
16,ID,69579,3966,671,38,44.2405,-114.4788,0.9643714339096566,0.44855488006438726
17,IL,453750,3561,10313,80,40.3495,-88.9861,2.2728975752526788,
18,IN,196176,2932,4511,67,39.8494,-86.2583,2.2994657858249736,0.6559110186771062
19,KS,92215,3167,1087,37,38.5266,-96.7265,1.1959654178674353,0.03051429838173354
20,KY,115277,2580,1534,34,37.6681,-84.6701,1.3307077734500377,0.17613227269967122
21,LA,190845,4095,5995,128,31.1695,-91.8678,3.2261536391766445,0.926732140454729
22,MA,170594,2472,10067,145,42.2302,-71.5301,6.106163077239784,0.797076791736548
23,MD,151505,2507,4194,69,39.0639,-76.8021,2.7886692806273508,0.0550465445040143
24,ME,7444,556,150,11,44.6939,-69.3819,2.066115702479338,0.7921487603305785
25,MI,218263,2186,7833,78,43.3266,-84.5361,3.5887896711765164,0.5548031503278156
26,MN,164865,2938,2634,46,45.6945,-93.9002,1.5825068995845086,0.835980954113972
27,MO,196576,3209,3106,50,38.4561,-92.2884,1.5581727837154198,
28,MP,98,0,2,3,15.0979,145.6739,2.0408163265306123,0.29591836734693877
29,MS,124854,4181,3419,114,32.7416,-89.6787,2.7484723982338743,0.854318855085683
30,MT,36968,3480,407,38,46.9219,-110.4544,1.1009521748539275,0.6302748322873837
31,NC,285661,2751,4548,43,35.6301,-79.8064,1.5920969260767133,0.8622738140663234
32,ND,51602,6789,613,80,47.5289,-99.78399999999999,1.1958986295322749,0.8029576419126352
33,NE,78012,4044,674,34,41.1254,-98.2681,0.863969645695534,0.5867302466287238
34,NH,11808,870,486,35,43.4525,-71.5639,4.115853658536587,0.8279132791327913
35,NJ,247219,2775,16403,184,40.2989,-74.521,6.635007827068307,0.15248018962943788
36,NM,51110,2439,1082,51,34.8405,-106.2485,2.117002543533555,0.4358051261983956
37,NV,105360,3472,1824,60,38.3135,-117.0554,1.7312072892938497,0.02383257403189066
38,NY,251352,2256,9313,83,42.1657,-74.9481,6.487321033437931,0.1546321210766135
39,NYC,271053,3227,24054,286,,,,
40,OH,235170,2012,5461,46,40.3888,-82.7649,2.3221499340902327,0.7596462133775567
41,OK,136324,3457,1420,36,35.5653,-96.9289,1.0879859555103832,0.8600324932818985
42,OR,47839,1142,710,16,44.571999999999996,-122.0709,1.4841447354668784,0.12270323376324756
43,PA,220566,1722,8937,69,40.5908,-77.2098,3.9535131015782152,0.7329440225433987
44,PR,70519,2207,862,26,18.2208,-66.5901,1.2317045061657257,0.4492047942837386
45,PW,0,0,0,0,,,,
46,RI,35750,3381,1222,115,41.6809,-71.5118,3.418181818181818,0.08058741258741259
47,RMI,1,2,0,0,,,,
48,SC,181639,3573,3992,78,33.8569,-80.945,2.197765898292768,0.5193433128347987
49,SD,51151,5798,482,54,44.2998,-99.4388,0.94230806826846,0.7245019647709722
50,TN,271771,4014,3509,51,35.7478,-86.6923,1.2911605726880349,0.8959454835136935
51,TX,934994,3258,18453,64,31.0545,-97.5635,1.9502006209450329,0.8278692921020331
52,UT,124292,3932,632,19,40.15,-111.8624,0.5084800308949892,0.7227898818910308
53,VA,188771,2216,3682,43,37.7693,-78.17,1.9700644223886496,0.11372207561885023
54,VI,1390,1328,23,21,18.3358,-64.8963,1.6570605187319885,0.9596541786743515
55,VT,2303,368,58,9,44.0459,-72.7107,2.518454190186713,0.8198002605297439
56,WA,112550,1494,2431,32,47.4009,-121.4905,2.159928920479787,
57,WI,263571,4534,2269,39,44.2685,-89.6165,0.8778668715289448,0.773711208207295
58,WV,26547,1470,480,26,38.4912,-80.9545,1.8156477191396392,0.7599728782913323
59,WY,15409,2667,105,18,42.756,-107.3025,0.6814199493802323,0.6300863131935882
